date,location,link
"April 18, 2009","Montreal, Quebec, Canada",http://www.ufcstats.com/event-details/1652f3213655b935
"July 11, 2009","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/0ee783aa00e468f0
"June 20, 2009","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/4908c5ee68a50ee5
"May 23, 2009","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c4b6099f0d25f75e
"August 08, 2009","Philadelphia, Pennsylvania, USA",http://www.ufcstats.com/event-details/48d1f690b763934c
"August 29, 2009","Portland, Oregon, USA",http://www.ufcstats.com/event-details/c6a33ff198aaaeeb
"September 19, 2009","Dallas, Texas, USA",http://www.ufcstats.com/event-details/896c322f56b8be5a
"September 16, 2009","Oklahoma City, Oklahoma, USA",http://www.ufcstats.com/event-details/a8ea84cbe1655f0a
"November 14, 2009","Manchester, England, United Kingdom",http://www.ufcstats.com/event-details/fa8b9e6b0c2269f8
"October 24, 2009","Los Angeles, California, USA",http://www.ufcstats.com/event-details/7c0847d3854a95f2
"January 11, 2010","Fairfax, Virginia, USA",http://www.ufcstats.com/event-details/58bc81376286b3d3
"November 21, 2009","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/84a067c46306a737
"December 05, 2009","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/91d73ee59347ac16
"February 20, 2010","Sydney, New South Wales, Australia",http://www.ufcstats.com/event-details/49efbdc6c9f650c4
"December 12, 2009","Memphis, Tennessee, USA",http://www.ufcstats.com/event-details/821cd80aab70d5f9
"February 06, 2010","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/15edcf67ccf5be84
"January 02, 2010","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/a6d8bfe9e0c8153b
"March 27, 2010","Newark, New Jersey, USA",http://www.ufcstats.com/event-details/c80095f6092271a7
"March 31, 2010","Charlotte, North Carolina, USA",http://www.ufcstats.com/event-details/3ed134d85dfbd7b4
"March 21, 2010","Broomfield, Colorado, USA",http://www.ufcstats.com/event-details/3795fca327cbcf23
"April 10, 2010","Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/24b033b3daf1c9df
"May 08, 2010","Montreal, Quebec, Canada",http://www.ufcstats.com/event-details/d0c29452d3272603
"May 29, 2010","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/bfc2fc38a0e20211
"June 12, 2010","Vancouver, British Columbia, Canada",http://www.ufcstats.com/event-details/cfb65863d5099327
"July 03, 2010","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/140745cbbcb023ac
"June 19, 2010","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/9bcf8603ceb25680
"August 07, 2010","Oakland, California, USA",http://www.ufcstats.com/event-details/2f3f12002564bb55
"August 01, 2010","San Diego, California, USA",http://www.ufcstats.com/event-details/f12f979b657ab876
"August 28, 2010","Boston, Massachusetts, USA",http://www.ufcstats.com/event-details/054defd5420a551f
"September 15, 2010","Austin, Texas, USA",http://www.ufcstats.com/event-details/acff437707625fc7
"October 23, 2010","Anaheim, California, USA",http://www.ufcstats.com/event-details/afdb76fbd86f6d11
"September 25, 2010","Indianapolis, Indiana, USA",http://www.ufcstats.com/event-details/ad32471f01e7b1a5
"November 20, 2010","Auburn Hills, Michigan, USA",http://www.ufcstats.com/event-details/dd992d569aaebee6
"October 16, 2010","London, England, United Kingdom",http://www.ufcstats.com/event-details/d512d9f204059f57
"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",http://www.ufcstats.com/event-details/0ff11cc094e887bc
"December 11, 2010","Montreal, Quebec, Canada",http://www.ufcstats.com/event-details/132f860d02953f4c
"December 04, 2010","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/5d7bdab5e03e3216
"January 22, 2011","Killeen, Texas, USA",http://www.ufcstats.com/event-details/282fa667ff9c51ed
"February 05, 2011","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/65ddc8a9ac4e8531
"March 03, 2011","Louisville, Kentucky, USA",http://www.ufcstats.com/event-details/a54fc2d6fc224dc3
"January 01, 2011","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/d1152823307d7e7c
"February 26, 2011","Sydney, New South Wales, Australia",http://www.ufcstats.com/event-details/88a9bc81271ccd89
"March 19, 2011","Newark, New Jersey, USA",http://www.ufcstats.com/event-details/1411c630ba711b64
"March 26, 2011","Seattle, Washington, USA",http://www.ufcstats.com/event-details/8a59d346dc976a10
"May 28, 2011","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/b732b326c362fb62
"April 30, 2011","Toronto, Ontario, Canada",http://www.ufcstats.com/event-details/2db7fa8db6bc9632
"June 04, 2011","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/3ba3b5cc94498437
"June 26, 2011","Pittsburgh, Pennsylvania, USA",http://www.ufcstats.com/event-details/d023ae89a2a4a41e
"August 27, 2011","Rio de Janeiro, Brazil",http://www.ufcstats.com/event-details/18968f97ad34f15c
"August 14, 2011","Milwaukee, Wisconsin, USA",http://www.ufcstats.com/event-details/4c8d6fde2dde07c4
"July 02, 2011","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/83fd97284f4bb4a4
"August 06, 2011","Philadelphia, Pennsylvania, USA",http://www.ufcstats.com/event-details/f1f9e48a0d150757
"September 24, 2011","Denver, Colorado, USA",http://www.ufcstats.com/event-details/73ef22f25d0f70e2
"June 11, 2011","Vancouver, British Columbia, Canada",http://www.ufcstats.com/event-details/aac5ac38148f0528
"September 17, 2011","New Orleans, Louisiana, USA",http://www.ufcstats.com/event-details/1ffc38f67785797b
"October 08, 2011","Houston, Texas, USA",http://www.ufcstats.com/event-details/7d5b12de1625984e
"October 01, 2011","Washington, DC, USA",http://www.ufcstats.com/event-details/44f9c777fed7ca03
"October 29, 2011","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/8788beb528894f33
"November 05, 2011","Birmingham, England, United Kingdom",http://www.ufcstats.com/event-details/e780ccc79a209985
"November 12, 2011","Anaheim, California, USA",http://www.ufcstats.com/event-details/1c061eb6e29eaa0a
"November 19, 2011","San Jose, California, USA",http://www.ufcstats.com/event-details/0ec821423baa26bd
"December 30, 2011","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/91720876db0ee468
"December 03, 2011","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/1f5f75658551f2d3
"December 10, 2011","Toronto, Ontario, Canada",http://www.ufcstats.com/event-details/6d7886b094b471ac
"January 14, 2012","Rio de Janeiro, Brazil",http://www.ufcstats.com/event-details/18524b46c570730b
"February 04, 2012","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/df2cf66d8c0123db
"January 20, 2012","Nashville, Tennessee, USA",http://www.ufcstats.com/event-details/4d74641fac830182
"January 28, 2012","Chicago, Illinois, USA",http://www.ufcstats.com/event-details/c3c23c99477c041b
"February 15, 2012","Omaha, Nebraska, USA",http://www.ufcstats.com/event-details/0a97691039c4bbfb
"April 14, 2012","Stockholm, Sweden",http://www.ufcstats.com/event-details/21f2974fd08085e3
"March 02, 2012","Sydney, New South Wales, Australia",http://www.ufcstats.com/event-details/b5ea750025697880
"February 25, 2012","Saitama, Japan",http://www.ufcstats.com/event-details/8377c5572cb356f3
"May 05, 2012","East Rutherford, New Jersey, USA",http://www.ufcstats.com/event-details/5898357a45a73674
"April 21, 2012","Atlanta, Georgia, USA",http://www.ufcstats.com/event-details/155bfc7ed36622df
"May 15, 2012","Fairfax, Virginia, USA",http://www.ufcstats.com/event-details/8caca5857ce0e30b
"May 26, 2012","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/4985113c0928aa62
"June 22, 2012","Atlantic City, New Jersey, USA",http://www.ufcstats.com/event-details/505934897b8b4824
"June 01, 2012","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/96087e90d900f0ef
"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",http://www.ufcstats.com/event-details/3da19339ee7051d5
"July 11, 2012","San Jose, California, USA",http://www.ufcstats.com/event-details/d3b5ad3b15a64a18
"June 08, 2012","Sunrise, Florida, USA",http://www.ufcstats.com/event-details/49590e0508b2c19f
"July 21, 2012","Calgary, Alberta, Canada",http://www.ufcstats.com/event-details/abbc4fc02e0d84b3
"August 04, 2012","Los Angeles, California, USA",http://www.ufcstats.com/event-details/f62850b3c7480db9
"September 22, 2012","Toronto, Ontario, Canada",http://www.ufcstats.com/event-details/53e533db1b8e9712
"July 07, 2012","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/e8efeb9cf33b1941
"August 11, 2012","Denver, Colorado, USA",http://www.ufcstats.com/event-details/3c48019bc387b80c
"September 29, 2012","Nottingham, England, United Kingdom",http://www.ufcstats.com/event-details/6cbb7661c3258617
"October 05, 2012","Minneapolis, Minnesota, USA",http://www.ufcstats.com/event-details/6a0b80a24f22e152
"October 13, 2012","Rio de Janeiro, Brazil",http://www.ufcstats.com/event-details/96d173b7f92aa520
"November 17, 2012","Montreal, Quebec, Canada",http://www.ufcstats.com/event-details/d41937647eae9a34
"November 10, 2012","Macau, China",http://www.ufcstats.com/event-details/319fa1bd3176bded
"December 08, 2012","Seattle, Washington, USA",http://www.ufcstats.com/event-details/d1e6a6536ee62517
"December 15, 2012","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c6da1c24fe473418
"January 19, 2013","Sao Paulo, Brazil",http://www.ufcstats.com/event-details/56f4b81ec4db61af
"December 14, 2012","Gold Coast, Queensland, Australia",http://www.ufcstats.com/event-details/e8c170a64dc920ac
"December 29, 2012","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c6e6926a81adcd00
