date,location,poss_winner,poss_loser
"6' 0""",155 lbs.,Paul Taylor,Gabe Ruediger
"6' 2""",185 lbs.,Chris Camozzi,Trevor Smith
"6' 1""",170 lbs.,Matthew Riddle,Che Mills
"6' 1""",185 lbs.,Vitor Miranda,Abu Azaitar
"6' 0""",185 lbs.,Eddie Gordon,Antonio Carlos Junior
"5' 10""",170 lbs.,Marcus Davis,Jeremy Stephens
"5' 10""",155 lbs.,Chris Wade,Frankie Perez
"5' 11""",185 lbs.,Kevin Casey,Sam Alvey
"5' 9""",145 lbs.,Dennis Buzukja,Melsik Baghdasaryan
"5' 11""",170 lbs.,Hector Urbina,Vicente Luque
"5' 9""",170 lbs.,Hiromitsu Miura,Edgar Garcia
--,185 lbs.,Terrell Brown,Patrick Cummins
"January 25, 2009","San Diego, California, USA",Jamie Varner,Donald Cerrone
"5' 11""",235 lbs.,Daniel Cormier,Stipe Miocic
"6' 1""",205 lbs.,Rafael Cavalcante,Ovince Saint Preux
"6' 4""",205 lbs.,Kyle Kingsbury,Patrick Cummins
"6' 2""",205 lbs.,Rogerio Nogueira,Mauricio Rua
"6' 3""",205 lbs.,Corey Anderson,Jan Blachowicz
"6' 1""",185 lbs.,Dante Rivera,Matthew Riddle
"5' 10""",185 lbs.,Chris Dempsey,Scott Askham
"6' 2""",170 lbs.,Dan Cramer,Matthew Riddle
"5' 10""",170 lbs.,Steve Bruno,Matthew Riddle
"6' 3""",185 lbs.,Josh Samman,Tim Boetsch
"November 20, 2009","Kansas City, Kansas, USA",Tyron Woodley,Rudy Bears
"May 21, 2010","Portland, Oregon, USA",Matt Lindland,Kevin Casey
"6' 0""",185 lbs.,Chad Vance,Kevin Casey
"5' 9""",145 lbs.,Melsik Baghdasaryan,Bruno Souza
"6' 0""",185 lbs.,Matt Lindland,Robbie Lawler
"6' 0""",170 lbs.,Blas Avena,Jesse Lennox
"May 12, 2007","Las Vegas, Nevada, USA",Doug Marshall,Justin McElfresh
"June 14, 2008","Oahu, Hawaii, USA",KJ Noons,Yves Edwards
"5' 3""",135 lbs.,Charlie Valencia,Ivan Menjivar
"5' 10""",135 lbs.,Seth Dikun,Frank Gomez
"5' 8""",220 lbs.,Yusuke Imamura,Mu Bae Choi
"April 28, 2002","Yokohama, Kanagawa, Japan",Wanderlei Silva,Mirko Filipovic
"December 23, 2002","Fukuoka, Japan",Antonio Rodrigo Nogueira,Dan Henderson
"6' 2""",205 lbs.,Jonathan Wilson,Oskar Piechota
"March 16, 2003","Yokohama, Kanagawa, Japan",Fedor Emelianenko,Antonio Rodrigo Nogueira
"6' 1""",200 lbs.,Guy Mezger,Rogerio Nogueira
"6' 4""",185 lbs.,Tamdan McCrory,Nate Marquardt
"6' 1""",185 lbs.,Caio Magalhaes,Brad Tavares
--,205 lbs.,Jason Sharp,Jeremiah Riggs
--,205 lbs.,Pro Escobedo,Jason Sharp
"5' 11""",190 lbs.,Dominic Brown,Lucas Lopes
"5' 9""",145 lbs.,Collin Anglin,Sean Woodson
"January 20, 2007","Las Vegas, Nevada, USA",Rob McCullough,Kit Cope
"6' 2""",185 lbs.,Logan Clark,Scott Harper
"5' 10""",170 lbs.,Tiki Ghosn,Luke Stewart
"6' 2""",280 lbs.,Ron Waterman,Dave Herman
"July 20, 2002","Tokyo, Japan",Alistair Overeem,Yusuke Imamura
"September 05, 2007","Las Vegas, Nevada, USA",Rob McCullough,Richard Crunkilton
"6' 2""",230 lbs.,Mu Bae Choi,Sergei Kharitonov
"February 15, 2004","Yokohama, Kanagawa, Japan",Wanderlei Silva,Ikuhisa Minowa
"6' 2""",220 lbs.,Yoshihisa Yamamoto,Mu Bae Choi
"6' 5""",350 lbs.,Bob Sapp,Rameau Thierry Sokoudjou
"6' 2""",205 lbs.,Alex Stiebling,Fernando Gonzalez
"May 01, 2000","Tokyo, Japan",Mark Coleman,Igor Vovchanchyn
