name,win,loss,tie,weight_lbs,reach_inch,stance,slpm,str_acc,sapm,str_def,tdavg,tdacc,tddef,subavg,w/l_ratio,age,inches
Ernie Verdicia,0,1,0,199.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,71
Anthony Macias,26,18,0,185.0,,Switch,0.0,0,0.0,0,0.0,0,0,0.0,0.59,,69
Marco Ruas,9,4,2,210.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.69,61,73
Ken Stone,11,4,0,135.0,71.0,Southpaw,3.85,49,2.9,48,1.24,33,60,0.6,0.73,39,68
Dave Beneteau,6,5,1,250.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.55,,74
Jared Papazian,20,13,0,135.0,67.0,Southpaw,3.33,39,3.81,44,0.0,0,50,0.0,0.61,34,68
Damian Stasiak,10,6,0,135.0,70.0,Orthodox,1.86,36,3.1,52,2.64,35,43,0.6,0.62,32,65
Keith Mielke,0,5,0,185.0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,68
Yves Jabouin,20,11,0,135.0,68.0,Orthodox,3.06,41,2.93,62,1.94,60,82,0.1,0.65,43,67
Sam Sicilia,15,8,0,145.0,67.0,Orthodox,2.46,33,3.55,59,1.45,43,70,0.9,0.65,36,68
Byron Bloodworth,6,3,0,135.0,,Orthodox,1.82,28,5.18,50,0.0,0,0,0.0,0.67,38,68
He-Man Gipson,1,2,0,,,,0.0,0,0.0,0,0.0,0,0,0.0,0.33,,
Matthew Riddle,8,3,0,170.0,76.0,Southpaw,3.01,42,2.74,54,3.51,50,89,0.5,0.73,36,73
Daron Cruickshank,18,10,0,155.0,72.0,Switch,2.88,38,2.98,57,2.04,41,60,0.2,0.64,37,68
Mario Sperry,13,4,0,205.0,,Orthodox,2.81,52,1.53,47,2.09,42,71,1.4,0.76,55,74
Donny Walker,15,10,0,135.0,,,1.81,37,3.85,46,0.0,0,57,1.7,0.6,42,69
Arnold Allen,18,1,0,145.0,70.0,Southpaw,3.31,42,2.22,66,1.41,50,76,0.4,0.95,28,68
Pete Williams,12,6,0,235.0,,Orthodox,0.61,62,2.77,40,1.84,40,16,0.9,0.67,47,75
Mark Coleman,16,10,0,205.0,75.0,Orthodox,1.88,52,2.62,40,3.89,40,50,0.8,0.62,57,73
Scott Ferrozzo,4,2,0,323.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.67,57,71
Thomas Almeida,22,5,0,145.0,70.0,Southpaw,4.84,43,4.93,61,0.17,14,75,0.0,0.81,30,67
Filip Pejic,12,2,2,135.0,,Orthodox,0.0,0,0.88,33,0.0,0,0,0.0,0.86,30,68
Cole Miller,21,11,0,145.0,73.0,Orthodox,3.0,33,3.88,59,0.6,36,38,1.8,0.66,38,73
Rony Jason,14,7,0,145.0,73.0,Orthodox,2.04,44,3.14,53,0.59,30,36,0.8,0.67,38,67
Chris Tickle,9,9,0,155.0,,,1.07,40,1.13,43,1.0,25,20,2.0,0.5,40,69
Adriano Martins,28,9,0,155.0,72.0,Southpaw,1.8,38,2.14,65,0.83,80,81,0.4,0.76,39,70
John Makdessi,18,7,0,155.0,68.0,Orthodox,5.57,51,4.02,69,0.0,0,89,0.0,0.72,37,68
Dante Rivera,16,7,0,185.0,,Southpaw,2.27,53,4.0,25,0.0,0,16,0.0,0.7,47,73
Travis Fulton,253,53,10,240.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.83,45,72
Alan Omer,20,5,0,145.0,,Orthodox,3.49,55,2.21,64,1.69,42,66,0.0,0.8,33,70
Jason Godsey,16,16,0,230.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.5,,74
Makwan Amirkhani,17,7,0,145.0,72.0,Southpaw,1.36,43,2.41,51,4.08,43,50,1.2,0.71,33,70
Sam Fulton,0,2,0,,,,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,
Jim Mullen,0,2,0,215.0,,Southpaw,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,73
Tim Gorman,9,4,0,135.0,,Southpaw,2.73,31,5.57,46,1.0,9,33,0.0,0.69,39,65
Jerry Bohlander,11,4,0,199.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.73,48,71
Anthony Birchak,16,8,0,135.0,69.0,Orthodox,3.93,36,3.67,56,0.48,14,61,0.5,0.67,36,68
Igor Vovchanchyn,55,10,0,205.0,,Orthodox,1.59,49,0.97,63,1.19,66,50,0.5,0.85,48,68
Andy Wang,7,8,1,155.0,,Orthodox,3.43,36,10.29,62,0.0,0,0,0.0,0.47,45,66
Moti Horenstein,1,6,0,230.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.14,,76
Jorge Gurgel,14,10,0,155.0,69.0,Orthodox,3.37,32,3.62,62,0.81,23,60,0.5,0.58,45,67
David Dodd,4,7,0,200.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.36,48,74
Pat Audinwood,11,2,1,155.0,,Orthodox,1.17,12,4.31,41,0.8,50,0,0.0,0.85,36,72
Kyle Watson,13,8,1,155.0,,Southpaw,3.67,35,3.25,62,0.0,0,100,0.0,0.62,42,72
